Model,MSE_Train,R2_Train,MSE_Test,R2_Test
LogisticRegression,8833510007267410.0,0.8396053568105479,5.753537690078426e+16,0.0426575017304083
MLPClassifier,3378345182595343.0,0.938657626505502,6.365719474186982e+16,-0.0592046342566823
RandomForestClassifier,4843905689834410.0,0.9120466808635351,5.515029755008114e+16,0.0823433080493765
