Model,Accuracy_Train,Recall_Train,Accuracy_Test,Recall_Test
LogisticRegression,0.904170804369414,0.0445544554455445,0.8963481906443072,0.0154255319148936
LogisticRegression - OverSampling,0.9458788480635552,0.9405940594059404,0.8490732568402471,0.3835106382978723
LogisticRegression - UnderSampling,0.711519364448858,0.9158415841584159,0.660856134157105,0.7079787234042553
